Name,Address,Contact,Ranking,Cuisine,Reviews,Opening_hours,Ratings,Website,Item_url
Don Giovanni Ristorante,"214 10th Ave, New York City, NY 10011-4711",+1 212-242-9054,#818,$$ - $$$ItalianPizzaVegetarian Friendly,273 reviews,See all hours,4.0,http://www.dongiovanni-ny.com/?utm_source=TripAdvisor&utm_medium=TripAdvWebsite&utm_campaign=TA&utm_term=TA&utm_content=Chelsea,https://www.tripadvisor.com/Restaurant_Review-g60763-d479192-Reviews-Don_Giovanni_Ristorante-New_York_City_New_York.html
Masseria Dei Vini,"887 9th Ave., New York City, NY 10019",+1 212-315-2888,#123,$$$$ItalianPizzaNeapolitan,613 reviews,,4.5,http://www.masseriadeivini.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d7352928-Reviews-Masseria_Dei_Vini-New_York_City_New_York.html
Union Square Cafe,"101 E 19th St, New York City, NY 10003-3104",+1 212-243-4020,#124,$$$$AmericanVegetarian FriendlyVegan Options,"1,392 reviews",See all hours,4.5,http://www.unionsquarecafe.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d457829-Reviews-Union_Square_Cafe-New_York_City_New_York.html
O'Hara's Restaurant & Pub,"120 Cedar St, New York City, NY 10006-1530",+1 212-267-3032,#125,AmericanIrishBarPub,"1,507 reviews",,4.5,https://www.facebook.com/OharasPubNYC/,https://www.tripadvisor.com/Restaurant_Review-g60763-d528141-Reviews-O_Hara_s_Restaurant_Pub-New_York_City_New_York.html
IPPUDO WESTSIDE (Midtown),"321 W 51st St, New York City, NY 10019-6401",+1 212-974-2500,#126,$$ - $$$JapaneseAsianVegetarian Friendly,"1,346 reviews",,4.5,https://ippudous.com/location/,https://www.tripadvisor.com/Restaurant_Review-g60763-d4716678-Reviews-IPPUDO_WESTSIDE_Midtown-New_York_City_New_York.html
Gotham Restaurant,"12 E 12th St Flr 1, New York City, NY 10003-4428",+1 212-380-8660,#127,$$$$AmericanVegetarian FriendlyVegan Options,"1,766 reviews",,4.5,http://gothambarandgrill.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d423308-Reviews-Gotham_Restaurant-New_York_City_New_York.html
Benjamin Steakhouse,"52 E 41st St Between Park and Madison Avenue, New York City, NY 10017-6211",+1 212-297-9177,#264,$$$$AmericanSeafoodSoups,"2,513 reviews",See all hours,4.5,http://benjaminsteakhouse.com/nyc/?utm_source=TripAdvisor&utm_medium=TA41&utm_campaign=Web,https://www.tripadvisor.com/Restaurant_Review-g60763-d655719-Reviews-Benjamin_Steakhouse-New_York_City_New_York.html
Blue Dog Cookhouse & Bar,"308 W 50th St Worldwide Plaza, New York City, NY 10019-6629",+1 212-459-0700,#128,$$ - $$$AmericanBarVegetarian Friendly,493 reviews,07:00 AM - 10:00 PM,4.5,http://www.bluedognyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d8778055-Reviews-Blue_Dog_Cookhouse_Bar-New_York_City_New_York.html
STATE Grill and Bar,"21 West 33rd Street, Ground Floor Empire State Building, New York City, NY 10118",+1 212-216-9693,#129,$$ - $$$AmericanGrillVegetarian Friendly,358 reviews,See all hours,4.5,http://www.patinagroup.com/state-grill-and-bar,https://www.tripadvisor.com/Restaurant_Review-g60763-d7606257-Reviews-STATE_Grill_and_Bar-New_York_City_New_York.html
Nocello,"257 W 55th St, New York City, NY 10019-5232",+1 212-713-0224,#130,$$ - $$$ItalianTuscanCentral-Italian,453 reviews,See all hours,4.5,http://www.nocello.net/,https://www.tripadvisor.com/Restaurant_Review-g60763-d445236-Reviews-Nocello-New_York_City_New_York.html
New York Luncheonette,"135 E 50th St Suite 1, Randolph House, New York City, NY 10022-7504",+1 212-838-0165,#131,$AmericanDinerVegetarian Friendly,"1,189 reviews",,4.5,http://shivermepinchersmb.world/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1740656-Reviews-New_York_Luncheonette-New_York_City_New_York.html
The Dead Rabbit,"30 Water St, New York City, NY 10004-2411",+1 646-422-7906,#132,$$ - $$$IrishBarPub,"1,396 reviews",See all hours,4.5,http://www.deadrabbitnyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d3903182-Reviews-The_Dead_Rabbit-New_York_City_New_York.html
Cafe Habana,"17 Prince Street, New York City, NY 10012-3507",+1 212-625-2001,#209,$MexicanCaribbeanLatin,768 reviews,See all hours,4.5,http://www.cafehabana.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d459152-Reviews-Cafe_Habana-New_York_City_New_York.html
Caravaggio Restaurant,"23 E. 74th St formerly Coco Pazzo, New York City, NY 10021-2617",+1 212-288-1004,#980,$$$$ItalianMediterraneanEuropean,231 reviews,See all hours,4.5,http://caravaggioristorante.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d423817-Reviews-Caravaggio_Restaurant-New_York_City_New_York.html
Jacob's Pickles,"509 Amsterdam Ave, New York City, NY 10024-3941",+1 212-470-5566,#133,$$ - $$$AmericanBarVegetarian Friendly,"1,040 reviews",,4.5,http://www.jacobspickles.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d3182887-Reviews-Jacob_s_Pickles-New_York_City_New_York.html
Hell's Kitchen,"754 9th Ave At 51st Street, New York City, NY 10019-8419",+1 212-977-1588,#134,$$ - $$$AmericanBarVegetarian Friendly,391 reviews,See all hours,4.5,http://www.hellskitchen-nyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d8847339-Reviews-Hell_s_Kitchen-New_York_City_New_York.html
Sea Fire Grill,"158 E 48th St Between 3rd and Lexington avenue, New York City, NY 10017-1224",+1 212-935-3785,#135,$$$$AmericanSteakhouseBar,"1,154 reviews",See all hours,4.5,http://theseafiregrill.com/?utm_source=tripadvisor&utm_medium=referral&utm_campaign=Web,https://www.tripadvisor.com/Restaurant_Review-g60763-d3731386-Reviews-Sea_Fire_Grill-New_York_City_New_York.html
Tops Diner,"500 Passaic Ave, East Newark, NJ 07029-2816",+1 973-481-0490,#1,$$ - $$$AmericanDinerVegetarian Friendly,592 reviews,06:00 AM - 01:00 AM,4.5,http://www.thetopsdiner.com/,https://www.tripadvisor.com/Restaurant_Review-g46402-d934347-Reviews-Tops_Diner-East_Newark_New_Jersey.html
The Meatball Shop - Hell's Kitchen,"798 9th Ave, New York City, NY 10019-5639",+1 212-230-5860,#136,$$ - $$$ItalianAmericanContemporary,"1,112 reviews",See all hours,4.5,https://www.themeatballshop.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d12176861-Reviews-The_Meatball_Shop_Hell_s_Kitchen-New_York_City_New_York.html
Nan Xiang Xiao Long Bao Manhattan,"24 W 33rd St, New York City, NY 10001-3332",+1 212-970-3888,"#3,029",$$ - $$$ChineseAsian,9 reviews,See all hours,4.5,https://nanxiangxiaolongbao.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d24984759-Reviews-Nan_Xiang_Xiao_Long_Bao_Manhattan-New_York_City_New_York.html
Via Brasil Restaurant,"34 W 46th St, New York City, NY 10036-4520",+1 212-997-1158,#137,$$ - $$$BrazilianLatinSouth American,484 reviews,,4.5,http://www.viabrasilrestaurant.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d459081-Reviews-Via_Brasil_Restaurant-New_York_City_New_York.html
Beyond Sushi,"62 W 56th St, New York City, NY 10019-3824",+1 646-964-5097,#138,$$ - $$$FusionHealthyVegetarian Friendly,240 reviews,See all hours,4.5,http://www.beyondsushi.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d7910543-Reviews-Beyond_Sushi-New_York_City_New_York.html
Dudley's,"85 Orchard St, New York City, NY 10002-4564",+1 212-925-7355,#139,$$ - $$$AmericanBarCafe,309 reviews,See all hours,4.5,http://www.dudleysnyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d3765402-Reviews-Dudley_s-New_York_City_New_York.html
Stage Door Deli,"26 Vesey St, New York City, NY 10007-2906",+1 212-791-5252,#140,$AmericanPizzaVegetarian Friendly,550 reviews,,4.5,http://www.stagedoordeliwtc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d2614259-Reviews-Stage_Door_Deli-New_York_City_New_York.html
Hillstone,"378 Park Ave S, New York City, NY 10010-1702",+1 212-689-1090,#141,$$ - $$$AmericanBarSushi,660 reviews,,4.5,http://www.hillstone.com/hillstone/,https://www.tripadvisor.com/Restaurant_Review-g60763-d425334-Reviews-Hillstone-New_York_City_New_York.html
Miss Mamie's Spoonbread Too,"366 W 110th St, New York City, NY 10025-2633",+1 212-865-6744,"#2,659",$$ - $$$AmericanCaribbeanCajun & Creole,102 reviews,See all hours,4.0,https://spoonbreadinc.com/#,https://www.tripadvisor.com/Restaurant_Review-g60763-d426019-Reviews-Miss_Mamie_s_Spoonbread_Too-New_York_City_New_York.html
Red Farm,"2170 Broadway between 77th St & 76th St in Upper West Side, New York City, NY 10024-6642",+1 212-724-9700,#142,$$ - $$$ChineseAsianShanghai,695 reviews,See all hours,4.5,http://redfarmnyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d6474717-Reviews-Red_Farm-New_York_City_New_York.html
Tamarind - Tribeca,"99 Hudson St Frnt A, New York City, NY 10013-2815",+1 212-775-9000,#143,$$$$IndianVegetarian FriendlyVegan Options,760 reviews,,4.5,http://www.tamarindrestaurantsnyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1985904-Reviews-Tamarind_Tribeca-New_York_City_New_York.html
Monte's Trattoria,"97 Macdougal St, New York City, NY 10012-1259",+1 212-228-9194,#144,$$ - $$$ItalianVegetarian FriendlyVegan Options,542 reviews,,4.5,http://www.montestrattorianyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d12717514-Reviews-Monte_s_Trattoria-New_York_City_New_York.html
Bubby's,"120 Hudson St corner of North Moore Street, New York City, NY 10013-2317",+1 212-219-0666,#145,$$ - $$$AmericanBarBarbecue,"1,650 reviews",,4.5,http://www.bubbys.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d423473-Reviews-Bubby_s-New_York_City_New_York.html
Obao,"647 9th Ave, New York City, NY 10036-3661",+1 212-245-8880,#146,$$ - $$$AsianThaiVietnamese,"1,242 reviews",See all hours,4.5,http://www.obaony.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d5937621-Reviews-Obao-New_York_City_New_York.html
Benjamin Steakhouse Prime,"23 E 40th St Between Park and Madison Avenue, New York City, NY 10016-0106",+1 212-338-0818,#147,$$$$AmericanSteakhouseSeafood,324 reviews,See all hours,4.5,http://benjaminsteakhouse.com/prime/?utm_source=tripadvisor&utm_medium=taprime&utm_campaign=Prime_Web,https://www.tripadvisor.com/Restaurant_Review-g60763-d11798975-Reviews-Benjamin_Steakhouse_Prime-New_York_City_New_York.html
PRINT.,"653 11th Ave Ground Level, New York City, NY 10036-2004",+1 212-757-2224,#148,$$$$AmericanVegetarian FriendlyVegan Options,997 reviews,07:00 AM - 3:00 PM,4.5,https://www.printrestaurant.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1960435-Reviews-PRINT-New_York_City_New_York.html
Five Leaves,"18 Bedford Ave Greenpoint, Brooklyn, NY 11222-3102",+1 718-383-5345,#9,$$ - $$$AmericanCafeContemporary,630 reviews,,4.5,http://fiveleavesny.com/,https://www.tripadvisor.com/Restaurant_Review-g60827-d1367551-Reviews-Five_Leaves-Brooklyn_New_York.html
Jean Georges,"1 Central Park W, New York City, NY 10023-7702",+1 212-299-3900,#149,$$$$FrenchVegetarian FriendlyVegan Options,"1,965 reviews",See all hours,4.5,http://www.jean-georgesrestaurant.com/jean-georges/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1657868-Reviews-Jean_Georges-New_York_City_New_York.html
Marea,"240 Central Park S, New York City, NY 10019-1457",+1 212-582-5100,#150,$$$$ItalianAmericanBar,"2,372 reviews",See all hours,4.5,http://www.marea-nyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1444705-Reviews-Marea-New_York_City_New_York.html
Benjamin Steakhouse,"52 E 41st St Between Park and Madison Avenue, New York City, NY 10017-6211",+1 212-297-9177,#264,$$$$AmericanSeafoodSoups,"2,513 reviews",See all hours,4.5,http://benjaminsteakhouse.com/nyc/?utm_source=TripAdvisor&utm_medium=TA41&utm_campaign=Web,https://www.tripadvisor.com/Restaurant_Review-g60763-d655719-Reviews-Benjamin_Steakhouse-New_York_City_New_York.html
The Polo Bar,"1 E 55th St Between 5th & Madison Avenues, New York City, NY 10022-3111",+1 212-207-8562,#151,$$$$AmericanVegetarian FriendlyVegan Options,664 reviews,See all hours,4.5,https://www.ralphlauren.com/global-polo-bar?y_source=1_MTMwNzQ5MjAtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,https://www.tripadvisor.com/Restaurant_Review-g60763-d7390655-Reviews-The_Polo_Bar-New_York_City_New_York.html
San Matteo Pizza Espresso Bar,"1739 2nd Ave, New York City, NY 10128-3502",+1 646-374-2412,#152,$$ - $$$ItalianPizzaVegetarian Friendly,387 reviews,See all hours,4.5,http://www.sanmatteomenu.com/?utm_source=organic_tripadvisor&utm_medium=ta_website,https://www.tripadvisor.com/Restaurant_Review-g60763-d2256319-Reviews-San_Matteo_Pizza_Espresso_Bar-New_York_City_New_York.html
La Grenouille,"3 E 52nd St, New York City, NY 10022-5301",+1 212-752-1495,#153,$$$$FrenchVegetarian FriendlyGluten Free Options,926 reviews,See all hours,4.5,http://la-grenouille.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d424452-Reviews-La_Grenouille-New_York_City_New_York.html
Robert,"2 Columbus Cir 9th Floor, New York City, NY 10019-1800",+1 212-299-7730,#154,$$$$AmericanEuropeanVegetarian Friendly,"1,688 reviews",See all hours,4.5,https://robertnyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1875229-Reviews-Robert-New_York_City_New_York.html
Fiat Cafe,"203 Mott St Frnt B, New York City, NY 10012-4562",+1 212-969-1809,#155,$$ - $$$ItalianCafeVegetarian Friendly,404 reviews,,4.5,http://www.fiatcafenyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1812665-Reviews-Fiat_Cafe-New_York_City_New_York.html
Sathi,"216 3rd Ave, New York City, NY 10003-2549",+1 212-260-3700,"#2,166",$$ - $$$IndianAsianNepali,19 reviews,See all hours,4.5,http://www.sathinewyork.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d17601464-Reviews-Sathi-New_York_City_New_York.html
Mighty Quinn's Barbeque,"103 2nd Ave, New York City, NY 10003-8336",+1 212-677-3733,#156,$$ - $$$AmericanSouthwesternBarbecue,670 reviews,See all hours,4.5,http://mightyquinnsbbq.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d3832442-Reviews-Mighty_Quinn_s_Barbeque-New_York_City_New_York.html
Tom's Restaurant,"782 Washington Ave, Brooklyn, NY 11238-4506",+1 718-636-9738,#10,$AmericanDinerVegetarian Friendly,413 reviews,,4.5,http://tomsbrooklyn.com/,https://www.tripadvisor.com/Restaurant_Review-g60827-d484785-Reviews-Tom_s_Restaurant-Brooklyn_New_York.html
Beso,"70 Bay St, Staten Island, NY 10301",+1 718-816-8162,#4,$$ - $$$LatinInternationalSpanish,524 reviews,,4.5,http://www.besonyc.com/,https://www.tripadvisor.com/Restaurant_Review-g48682-d1125099-Reviews-Beso-Staten_Island_New_York.html
Fandi Mata,"74 Bayard St, Brooklyn, NY 11222-3905",+1 718-388-8877,#11,$$ - $$$PizzaMediterraneanHealthy,68 reviews,,5.0,http://www.fandimata.com/menu,https://www.tripadvisor.com/Restaurant_Review-g60827-d23404947-Reviews-Fandi_Mata-Brooklyn_New_York.html
Capizzi,"547 9th Ave, New York City, NY 10018-1324",+1 212-695-6900,#157,$$ - $$$ItalianPizzaVegetarian Friendly,"1,815 reviews",See all hours,4.5,https://www.facebook.com/CapizziNY,https://www.tripadvisor.com/Restaurant_Review-g60763-d1902953-Reviews-Capizzi-New_York_City_New_York.html
Ben & Jack's Steakhouse,"219 E 44th St, New York City, NY 10017-4305",+1 212-682-5678,"#1,079",$$$$AmericanSteakhouseBar,97 reviews,See all hours,4.5,https://www.benandjackssteakhouse.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d13194792-Reviews-Ben_Jack_s_Steakhouse-New_York_City_New_York.html
SeaHorse,"259 Front Street, New York City, NY 10038",+1 212-608-7873,#694,$$ - $$$AmericanSouthwesternBar,256 reviews,See all hours,4.5,http://www.cowgirlseahorse.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d2366015-Reviews-SeaHorse-New_York_City_New_York.html
Crave Fishbar,"945 Second Avenue Between 50th and 51st, New York City, NY 10022",+1 646-895-9585,#158,$$ - $$$AmericanSeafoodInternational,467 reviews,See all hours,4.5,https://cravefishbar.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d3459256-Reviews-Crave_Fishbar-New_York_City_New_York.html
The Capital Grille,"120 Broadway, New York City, NY 10271",+1 212-374-1811,#159,$$$$AmericanSteakhouseVegetarian Friendly,402 reviews,See all hours,4.5,https://www.thecapitalgrille.com/locations/ny/new-york/nyc-wall-street/8039,https://www.tripadvisor.com/Restaurant_Review-g60763-d1508456-Reviews-The_Capital_Grille-New_York_City_New_York.html
Trattoria Trecolori,"254 W 47th St, New York City, NY 10036-5652",+1 212-997-4540,#160,$$ - $$$ItalianVegetarian FriendlyVegan Options,"2,855 reviews",See all hours,4.5,http://www.trattoriatrecolori.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d477311-Reviews-Trattoria_Trecolori-New_York_City_New_York.html
Blue Ribbon Brasserie,"97 Sullivan St Frnt A, New York City, NY 10012-3663",+1 212-274-0404,#161,$$ - $$$AmericanSeafoodInternational,391 reviews,See all hours,4.5,https://www.blueribbonbrasserie.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d457154-Reviews-Blue_Ribbon_Brasserie-New_York_City_New_York.html
Barney Greengrass,"541 Amsterdam Ave 86th Street, New York City, NY 10024-2803",+1 212-724-4707,#162,$$ - $$$DeliEastern EuropeanIsraeli,573 reviews,See all hours,4.5,http://www.barneygreengrass.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d423640-Reviews-Barney_Greengrass-New_York_City_New_York.html
Brickyard Craft Kitchen & Beer,"23 Park Pl, New York City, NY 10007",+1 646-449-0826,#99,American,5 reviews,See all hours,5.0,http://www.brickyardbarnyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d25401922-Reviews-Brickyard_Craft_Kitchen_Beer-New_York_City_New_York.html
Rainbow Room,"30 Rockefeller Plz 65th Floor, New York City, NY 10112-0015",+1 212-632-5000,#163,$$$$AmericanContemporaryVegetarian Friendly,700 reviews,06:30 AM - 2:30 PM,4.5,http://www.rainbowroom.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d7260260-Reviews-Rainbow_Room-New_York_City_New_York.html
Delmonico's,"56 Beaver St Frnt A, New York City, NY 10004-2436",+1 212-381-1237,#164,$$$$AmericanSteakhouseGluten Free Options,"1,036 reviews",See all hours,4.5,http://www.theoriginaldelmonicos.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d459628-Reviews-Delmonico_s-New_York_City_New_York.html
Hakata Ippudo NY,"65 4th Ave, New York City, NY 10003-5220",+1 212-388-0088,#165,$$ - $$$JapaneseAsianSoups,622 reviews,See all hours,4.5,https://ippudous.com/location/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1026774-Reviews-Hakata_Ippudo_NY-New_York_City_New_York.html
Cuba,"222 Thompson St, New York City, NY 10012-1363",+1 212-420-7878,#166,$$ - $$$CaribbeanLatinCuban,482 reviews,,4.5,http://cubanyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d941063-Reviews-Cuba-New_York_City_New_York.html
Real Kung Fu Little Steamed Buns Ramen,"811 8th Ave, New York City, NY 10019",+1 917-388-2555,#167,$ChineseAsianSoups,476 reviews,See all hours,4.5,http://www.kungfulittlesteamedbunsramen.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d6872074-Reviews-Real_Kung_Fu_Little_Steamed_Buns_Ramen-New_York_City_New_York.html
Ben & Jack's Steakhouse,"219 E 44th St, New York City, NY 10017-4305",+1 212-682-5678,"#1,079",$$$$AmericanSteakhouseBar,97 reviews,See all hours,4.5,https://www.benandjackssteakhouse.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d13194792-Reviews-Ben_Jack_s_Steakhouse-New_York_City_New_York.html
The River Cafe,"1 Water St, Brooklyn, NY 11201-1335",+1 718-522-5200,#12,$$$$AmericanVegetarian FriendlyVegan Options,"4,185 reviews",See all hours,4.5,https://rivercafe.com/,https://www.tripadvisor.com/Restaurant_Review-g60827-d482173-Reviews-The_River_Cafe-Brooklyn_New_York.html
Cafe Mogador,"101 St Marks Pl East Village, New York City, NY 10009-5146",+1 212-677-2226,#168,$$ - $$$MoroccanMediterraneanMiddle Eastern,573 reviews,See all hours,4.5,http://www.cafemogador.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d425824-Reviews-Cafe_Mogador-New_York_City_New_York.html
La Masseria,"235 W. 48th St., New York City, NY 10036-1404",+1 212-582-2111,#169,$$$$ItalianNeapolitanCampania,"1,998 reviews",See all hours,4.5,http://www.lamasserianyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d546786-Reviews-La_Masseria-New_York_City_New_York.html
Fiore Deli of Hoboken,"414 Adams St, Hoboken, NJ 07030-2693",+1 201-659-1655,#1,$ItalianDeli,170 reviews,,5.0,https://www.tripadvisor.pt/,https://www.tripadvisor.com/Restaurant_Review-g46515-d873710-Reviews-Fiore_Deli_of_Hoboken-Hoboken_New_Jersey.html
Boulud Sud,"20 W 64th St, New York City, NY 10023-7129",+1 212-595-1313,#170,$$$$MediterraneanHealthyVegetarian Friendly,937 reviews,See all hours,4.5,http://www.bouludsud.com/reservations,https://www.tripadvisor.com/Restaurant_Review-g60763-d2242032-Reviews-Boulud_Sud-New_York_City_New_York.html
Meduza Mediterrania New York,"657 Hudson Street Gansevoort Meatpacking NYC, New York City, NY 10014",+1 646-435-6544,"#4,639",$$$$Mediterranean,3 reviews,See all hours,5.0,http://www.meduza33.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d25777160-Reviews-Meduza_Mediterrania_New_York-New_York_City_New_York.html
Gyu-Kaku Japanese BBQ,"321 W 44th St, New York City, NY 10036-5404",+1 646-692-9115,#171,$$ - $$$JapaneseBarbecueAsian,429 reviews,See all hours,4.5,http://www.gyu-kaku.com/times-square,https://www.tripadvisor.com/Restaurant_Review-g60763-d3175593-Reviews-Gyu_Kaku_Japanese_BBQ-New_York_City_New_York.html
Momoya Chelsea,"185 7th Ave, New York City, NY 10011-1804",+1 212-989-4466,#172,$$ - $$$JapaneseSushiAsian,256 reviews,See all hours,4.5,http://www.momoyanyc.com/chelsea.php,https://www.tripadvisor.com/Restaurant_Review-g60763-d851947-Reviews-Momoya_Chelsea-New_York_City_New_York.html
44 & X,"622 10th Ave, New York City, NY 10036-3004",+1 212-977-1170,#173,$$ - $$$AmericanVegetarian FriendlyVegan Options,766 reviews,,4.5,http://www.44andx.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d425603-Reviews-44_X-New_York_City_New_York.html
Estiatorio Milos - Midtown New York,"125 W 55th St, New York City, NY 10019-5369",+1 212-245-7400,#174,$$$$SeafoodMediterraneanGreek,"1,599 reviews",See all hours,4.5,http://www.estiatoriomilos.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d424507-Reviews-Estiatorio_Milos_Midtown_New_York-New_York_City_New_York.html
Maison Premiere,"298 Bedford Ave, Brooklyn, NY 11249-4205",+1 347-335-0446,#13,$$ - $$$SeafoodGluten Free Options,343 reviews,,4.5,https://www.facebook.com/pages/category/Cocktail-Bar/Maison-Premiere-189612647729281/,https://www.tripadvisor.com/Restaurant_Review-g60827-d3192816-Reviews-Maison_Premiere-Brooklyn_New_York.html
Andrews Coffee Shop,"463 7th Ave, New York City, NY 10018-7604",+1 212-695-1962,#89,$AmericanCafeDiner,"2,415 reviews",06:00 AM - 10:00 PM,4.5,http://www.andrewsny.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1762735-Reviews-Andrews_Coffee_Shop-New_York_City_New_York.html
Upland,"345 Park Ave S, New York City, NY 10010-1707",+1 212-686-1006,#175,$$ - $$$AmericanVegetarian FriendlyVegan Options,654 reviews,See all hours,4.5,https://www.uplandnyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d7192873-Reviews-Upland-New_York_City_New_York.html
Shanghai 21,"21 Mott St, New York City, NY 10013-5032",+1 212-766-6311,#176,$$ - $$$ChineseAsianShanghai,422 reviews,,4.5,http://shanghai21togo.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d2487744-Reviews-Shanghai_21-New_York_City_New_York.html
Cafe Boulud,"100 East 63rd St., New York City, NY 10065",+1 212-772-2600,#177,$$$$French,"1,201 reviews",,4.5,https://www.cafeboulud.com/nyc/,https://www.tripadvisor.com/Restaurant_Review-g60763-d423818-Reviews-Cafe_Boulud-New_York_City_New_York.html
Sean's Bar And Kitchen,"42 W 48th St, New York City, NY 10036",+1 212-764-9090,#2,$$ - $$$AmericanIrishBar,464 reviews,See all hours,4.5,http://www.seansbarandkitchen.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d10148283-Reviews-Sean_s_Bar_And_Kitchen-New_York_City_New_York.html
Bistro Les Amis,"180 Spring St, New York City, NY 10012-3703",+1 212-226-8645,#179,$$ - $$$FrenchEuropeanVegetarian Friendly,388 reviews,See all hours,4.5,http://www.bistrolesamis.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d479341-Reviews-Bistro_Les_Amis-New_York_City_New_York.html
Da Andrea,"35 W 13th St, New York City, NY 10011-7924",+1 212-367-1979,#249,$$ - $$$ItalianVegetarian FriendlyVegan Options,377 reviews,See all hours,4.5,https://www.facebook.com/daandreanyc/,https://www.tripadvisor.com/Restaurant_Review-g60763-d457849-Reviews-Da_Andrea-New_York_City_New_York.html
Saigon Shack,"114 Macdougal St, New York City, NY 10012",+1 212-228-0588,#180,$AsianVietnameseVegetarian Friendly,281 reviews,,4.5,https://www.saigonshack.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d3389328-Reviews-Saigon_Shack-New_York_City_New_York.html
The Mean Fiddler,"266 W 47th St Between 7th & 8th Ave, New York City, NY 10036-1411",+1 212-354-2950,#181,$$ - $$$IrishBarPub,"1,159 reviews",See all hours,4.5,http://www.themeanfiddlernyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1734371-Reviews-The_Mean_Fiddler-New_York_City_New_York.html
Osteria Morini,"218 Lafayette St, New York City, NY 10012-4021",+1 212-965-8777,#182,$$ - $$$ItalianBarPub,760 reviews,,4.5,https://www.facebook.com/OsteriaMoriniSoho/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1995049-Reviews-Osteria_Morini-New_York_City_New_York.html
Toscana 49,"143 E 49th St Between Lexington and third AV, New York City, NY 10017",+1 212-256-0190,#183,$$ - $$$ItalianTuscanVegetarian Friendly,753 reviews,See all hours,4.5,http://www.toscana49.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d10083109-Reviews-Toscana_49-New_York_City_New_York.html
Tasty Hand - Pulled Noodles,"1 Doyers St, New York City, NY 10013-5150",+1 212-791-1817,#184,$ChineseAsianVegetarian Friendly,433 reviews,See all hours,4.5,http://www.tastyhandpullednoodlesnyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1510673-Reviews-Tasty_Hand_Pulled_Noodles-New_York_City_New_York.html
